appid,name
39680,The Guild II Renaissance
39690,ArcaniA
39800,Nation Red
40100,Supreme Commander 2
40300,Risen
40330,Secret Files: Tunguska
40350,Lost Horizon
40380,nail'd
40390,Risen 2: Dark Waters
40400,AI War: Fleet Command
40420,Tidalis
40700,Machinarium
40720,Samorost 2
40930,The Misadventures of P.B. Winterbottom
40950,Stronghold HD
40970,Stronghold Crusader HD
40980,Stronghold Legends: Steam Edition
40990,Mafia
41000,Serious Sam HD: The First Encounter
41070,Serious Sam 3: BFE
41100,Hammerfight
41300,Altitude
41500,Torchlight
41700,S.T.A.L.K.E.R.: Call of Pripyat
41740,Cargo! The Quest for Gravity
41800,Gratuitous Space Battles
41900,The Bard's Tale
42120,Lead and Gold: Gangs of the Wild West
42140,Hamilton's Great Adventure
42170,Krater
42500,DogFighter
42670,Singularity™
42700,Call of Duty®: Black Ops
42850,Arsenal of Democracy: A Hearts of Iron Game
42890,Sword of the Stars: Complete Collection
42910,Magicka
42920,The Kings' Crusade
42940,Elven Legacy: Siege
42960,Victoria II
42980,Victoria I Complete
42990,Sword of the Stars II: Enhanced Edition
43000,Front Mission Evolved
43100,World of Zoo
43190,The Haunted: Hells Reach
44350,GRID 2
44360,F1 2011
44600,GTR - FIA GT Racing Game
44690,GT Legends
45000,Sol Survivor
45100,Secret of the Magic Crystals
45300,Wings of Prey
45400,Fortix
45410,Ignite
45450,Fortix 2
45700,Devil May Cry 4
45710,Dark Void™
45720,Lost Planet: Extreme Condition Colonies Edition
45740,Dead Rising® 2
45750,Lost Planet® 2
45760,Ultra Street Fighter® IV
45770,Dead Rising 2: Off the Record
46000,Bob Came in Pieces
46250,NecroVisioN: Lost Company
46260,Star Wolves 3: Civil War
46270,Star Wolves
46280,Star Wolves 2
46290,Theatre of War
46340,Theatre of War 2: Africa 1943
46350,Real Warfare 1242
46360,Theatre of War 2: Kursk 1943
46370,Rig n Roll
46380,Reign: Conflict of Nations
46400,Greed: Black Border
46410,Avencast: Rise of the Mage
46440,Future Wars
46450,Grotesque Tactics: Evil Heroes
46480,Still Life
46490,Still Life 2
46500,Syberia
46510,Syberia II
46520,Wasteland Angel
46540,Trapped Dead
46550,Post Mortem
46570,Grotesque Tactics 2 – Dungeons and Donuts
46750,Dark Fall: Lost Souls
47400,Stronghold 3 Gold
47410,Stronghold Kingdoms
